"Pond","Taxa","Species","Group","Sample_ID","Weight","D15N","D13C","C.N"
"P02","Agile frog","Agile frog","Amphibians","22GAGI5",0.2789,2.88,-30.31,3.65
"P02","Agile frog","Agile frog","Amphibians","22GAGI9",0.4113,3.15,-29.97,3.52
"P02","Agile frog","Agile frog","Amphibians","22GAGI4",0.3375,3.48,-31.26,3.51
"P02","Agile frog","Agile frog","Amphibians","22GAGI6",0.3,3.05,-31.62,3.41
"P02","Agile frog","Agile frog","Amphibians","22GAGI2",0.2974,3.07,-30.82,3.43
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL3",0.4062,6.69,-23.71,3.25
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL29",0.4071,9.64,-23.81,3.36
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL27",0.3967,8.15,-23.22,3.31
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL17",0.4176,8.48,-23.2,3.36
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL11",0.4463,6.39,-23.59,3.26
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL15",0.4009,8.51,-24.04,3.2
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL1",0.3796,7.49,-22.64,3.19
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL8",0.4169,6.29,-24.01,3.24
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL18",0.3924,8.18,-22.98,3.47
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL2",0.4049,8.92,-23.41,3.25
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL19",0.4158,5.17,-24.01,3.22
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL14",0.3872,7.85,-24.6,3.33
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL7",0.3929,8.89,-23.97,3.21
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL28",0.4027,8.27,-22.36,3.43
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL26",0.3888,7.31,-23.82,3.45
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL12",0.4172,6.19,-22.88,3.23
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL10",0.4165,6.92,-23.54,3.27
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL6",0.3713,7.21,-23.87,3.27
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL22",0.4004,6.7,-23.22,3.21
"P03","Palmate newt","Palmate newt","Amphibians","48TPAL30",0.3999,8.97,-23.31,3.39
"P03","Agile frog","Agile frog","Amphibians","48GAGI15",0.3896,5.75,-24.76,3.4
"P03","Agile frog","Agile frog","Amphibians","48GAGI21",0.4004,5.54,-23.71,3.4
"P03","Agile frog","Agile frog","Amphibians","48GAGI17",0.4019,5.61,-25.61,3.51
"P03","Agile frog","Agile frog","Amphibians","48GAGI25",0.3983,4.94,-23.89,3.39
"P03","Agile frog","Agile frog","Amphibians","48GAGI1",0.3971,4.85,-23.94,3.53
"P03","Agile frog","Agile frog","Amphibians","48GAGI6",0.4013,5.04,-24.29,3.52
"P03","Agile frog","Agile frog","Amphibians","48GAGI22",0.4491,5.17,-24.4,3.5
"P03","Agile frog","Agile frog","Amphibians","48GAGI8",0.3993,5.12,-27.24,3.71
"P03","Agile frog","Agile frog","Amphibians","48GAGI27",0.4144,4.59,-23.95,3.61
"P03","Agile frog","Agile frog","Amphibians","48GAGI12",0.4019,5.53,-25.26,3.41
"P03","Agile frog","Agile frog","Amphibians","48GAGI20",0.4079,4.38,-23.47,3.48
"P03","Agile frog","Agile frog","Amphibians","48GAGI9",0.3688,4.95,-26.64,3.49
"P03","Agile frog","Agile frog","Amphibians","48GAGI23",0.3908,4.95,-27.61,3.41
"P03","Agile frog","Agile frog","Amphibians","48GAGI26",0.4301,4.7,-23.75,3.51
"P03","Agile frog","Agile frog","Amphibians","48GAGI4",0.3313,5.34,-27.85,3.43
"P03","Agile frog","Agile frog","Amphibians","48GAGI7",0.3864,5.09,-25.42,3.52
"P03","Agile frog","Agile frog","Amphibians","48GAGI24",0.3661,4.49,-25.31,3.43
"P03","Agile frog","Agile frog","Amphibians","48GAGI18",0.4149,4.4,-27.28,3.65
"P03","Agile frog","Agile frog","Amphibians","48GAGI2",0.4051,4.94,-23.68,3.46
"P03","Agile frog","Agile frog","Amphibians","48GAGI16",0.4053,5.25,-23.61,3.59
"P03","Tree frog","Tree frog","Amphibians","48RVER12",0.2147,3.52,-23.53,3.4
"P03","Tree frog","Tree frog","Amphibians","48RVER14",0.2346,4.38,-23.92,3.47
"P03","Tree frog","Tree frog","Amphibians","48RVER15",0.2301,3.46,-24.14,3.57
"P03","Tree frog","Tree frog","Amphibians","48RVER4",0.1898,5.03,-23.63,3.43
"P03","Tree frog","Tree frog","Amphibians","48RVER3",0.3908,4.86,-24.12,3.86
"P03","Tree frog","Tree frog","Amphibians","48RVER1",0.2724,3.97,-23.63,3.61
"P03","Tree frog","Tree frog","Amphibians","48RVER10",0.2143,3.64,-24.09,3.45
"P03","Tree frog","Tree frog","Amphibians","48RVER9",0.1997,3.69,-24.26,3.51
"P03","Tree frog","Tree frog","Amphibians","48RVER13",0.2665,3.76,-24.57,3.51
"P03","Tree frog","Tree frog","Amphibians","48RVER2",0.2635,4.51,-24.8,3.58
"P03","Tree frog","Tree frog","Amphibians","48RVER7",0.4076,4.41,-24.21,3.61
"P03","Tree frog","Tree frog","Amphibians","48RVER5",0.3153,3.44,-24.66,3.79
"P03","Tree frog","Tree frog","Amphibians","48RVER8",0.3202,4.52,-24.19,3.54
"P03","Tree frog","Tree frog","Amphibians","48RVER11",0.214,3,-24.17,3.45
"P03","Tree frog","Tree frog","Amphibians","48RVER6",0.4266,3.25,-24.21,3.57
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR7",0.387,8.6,-24.86,3.29
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR5",0.3995,8.22,-23.91,3.25
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR13",0.401,8.33,-24.54,3.31
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR29",0.4094,8.02,-25.25,3.31
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR15",0.3938,8.16,-25.02,3.39
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR12",0.4057,7.89,-24.91,3.4
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR16",0.4258,7.56,-24.37,3.38
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR11",0.3965,8.16,-24.61,3.44
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR8",0.3843,8.33,-25.24,3.42
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR6",0.425,8.94,-25.35,3.41
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR4",0.4191,7.53,-24.75,3.36
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR3",0.4032,8.9,-24.16,3.41
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR10",0.4026,9.18,-24.2,3.45
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR28",0.3865,8.87,-24.62,3.38
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR9",0.4089,8.14,-25.11,3.38
"P03","Marbled newt","Marbled newt","Amphibians","48TMAR14",0.4148,6.67,-23.87,3.4
"P17","Palmate newt","Palmate newt","Amphibians","82TPAL7",0.2926,4.46,-28.73,3.49
"P17","Palmate newt","Palmate newt","Amphibians","82TPAL1",0.3163,7.21,-31.11,3.4
"P17","Palmate newt","Palmate newt","Amphibians","82TPAL2",0.2962,7.06,-30.69,3.67
"P17","Palmate newt","Palmate newt","Amphibians","82TPAL2D",0.4424,6.67,-29.5,3.51
"P17","Palmate newt","Palmate newt","Amphibians","82TPAL1D",0.4069,7.58,-30.5,3.39
"P17","Agile frog","Agile frog","Amphibians","82GAGI9",0.4162,5.79,-32.63,3.54
"P17","Agile frog","Agile frog","Amphibians","82GAGI3",0.3078,5.08,-34.06,3.51
"P17","Agile frog","Agile frog","Amphibians","82GAGI7",0.2587,4.96,-34.39,3.47
"P17","Agile frog","Agile frog","Amphibians","82GAGI6",0.2691,5.39,-33.9,3.46
"P17","Agile frog","Agile frog","Amphibians","82GAGI4",0.4401,5.41,-34.46,3.49
"P17","Agile frog","Agile frog","Amphibians","82GAGI9D",0.2205,5.36,-33.95,3.42
"P17","Agile frog","Agile frog","Amphibians","82GAGI1",0.1838,5,-34.46,3.49
"P17","Agile frog","Agile frog","Amphibians","82GAGI2",0.2619,5.53,-34.54,3.55
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR22",0.4089,6.13,-24.38,3.39
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR10",0.3968,7.43,-25.6,3.45
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR14",0.4166,7.77,-25.45,3.38
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR19",0.418,6.16,-25.09,3.35
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR18",0.3926,6.57,-26.09,3.4
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR11",0.4172,7.08,-26.19,3.41
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR25",0.4491,7.41,-25.94,3.36
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR15",0.4124,6.88,-25.87,3.33
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR12",0.4485,6.75,-27.56,3.39
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR20",0.4498,6.19,-25.77,3.5
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR10D",0.4022,5.47,-24.71,3.41
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR13",0.413,6.03,-24.15,3.58
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR14D",0.4237,7.35,-26.85,3.33
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR16",0.3848,6.2,-25.07,3.32
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR12D",0.4321,7.37,-27.39,3.32
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR13D",0.4159,6.99,-27.05,3.34
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR15D",0.4253,6.53,-26.14,3.36
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR21",0.4103,7,-25.34,3.35
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR11D",0.3908,6.7,-26.63,3.36
"P06","Marbled newt","Marbled newt","Amphibians","70TMAR16D",0.3974,7.3,-26.6,3.36
"P06","Agile frog","Agile frog","Amphibians","70GAGI4",0.2677,6.29,-33.12,3.46
"P06","Agile frog","Agile frog","Amphibians","70GAGI2",0.2513,6.77,-32.52,3.42
"P06","Agile frog","Agile frog","Amphibians","70GAGI5",0.3421,5.53,-31.82,3.55
"P06","Agile frog","Agile frog","Amphibians","70GAGI6",0.3529,5.92,-31.71,3.5
"P06","Agile frog","Agile frog","Amphibians","70GAGI8",0.3419,5.14,-32.14,3.51
"P06","Agile frog","Agile frog","Amphibians","70GAGI3",0.3144,5.71,-33.11,3.53
"P06","Agile frog","Agile frog","Amphibians","70GAGI9",0.3943,6.31,-31.31,3.54
"P06","Agile frog","Agile frog","Amphibians","70GAGI1",0.3487,6.23,-33.16,3.53
"P06","Agile frog","Agile frog","Amphibians","70GAGI10",0.4088,5.37,-33.35,3.53
"P06","Agile frog","Agile frog","Amphibians","70GAGI7",0.4062,6,-32.52,3.61
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL10",0.3906,6.44,-27.6,3.51
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL4",0.4048,7.25,-27.73,3.48
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL3",0.3963,6.54,-28.13,3.45
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL7",0.4117,7.04,-30.19,3.63
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL5",0.4008,7.16,-27.02,3.47
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL12",0.3957,5.54,-27.77,4.05
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL15",0.4061,5.75,-27.02,3.34
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL17",0.4029,7.62,-27.1,3.36
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL18",0.4125,6.29,-27.03,3.41
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL14",0.3992,7.78,-27.66,3.44
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL1",0.3945,6.32,-26.65,3.43
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL8",0.3326,6.69,-28.92,3.51
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL16",0.397,5.61,-28.26,3.44
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL2",0.4038,7.99,-28.81,3.66
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL19",0.4008,6.05,-27.99,3.44
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL9",0.2719,6.21,-27,3.37
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL6",0.3813,6.92,-28.23,3.54
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL20",0.4143,5.85,-27.32,3.53
"P06","Palmate newt","Palmate newt","Amphibians","70TPAL11",0.3259,6.17,-28.13,3.35
"P15","Agile frog","Agile frog","Amphibians","91GAGI1",0.4266,4,-35.08,3.51
"P15","Agile frog","Agile frog","Amphibians","91GAGI2",0.4324,4.32,-34.84,3.5
"P15","Agile frog","Agile frog","Amphibians","91GAGI3",0.4216,4.99,-35.59,3.57
"P15","Agile frog","Agile frog","Amphibians","91GAGI4",0.4163,5.25,-34.87,3.5
"P15","Agile frog","Agile frog","Amphibians","91GAGI5",0.3858,4.64,-33.85,3.49
"P15","Agile frog","Agile frog","Amphibians","91GAGI6",0.3944,4.75,-35,3.5
"P15","Agile frog","Agile frog","Amphibians","91GAGI7",0.375,5.01,-34.91,3.47
"P15","Agile frog","Agile frog","Amphibians","91GAGI8",0.4436,5.37,-34.49,3.53
"P15","Agile frog","Agile frog","Amphibians","91GAGI9",0.3871,5.19,-35.39,3.5
"P15","Agile frog","Agile frog","Amphibians","91GAGI10",0.4129,4.64,-35.28,3.61
"P15","Agile frog","Agile frog","Amphibians","91GAGI11",0.3965,5.05,-34.15,3.38
"P15","Agile frog","Agile frog","Amphibians","91GAGI21",0.4129,4.26,-34.51,3.6
"P15","Agile frog","Agile frog","Amphibians","91GAGI13",0.4114,5.12,-34.75,3.44
"P15","Agile frog","Agile frog","Amphibians","91GAGI14",0.4144,4.38,-35.08,3.46
"P15","Agile frog","Agile frog","Amphibians","91GAGI15",0.4086,4.99,-35.43,3.48
"P15","Agile frog","Agile frog","Amphibians","91GAGI16",0.3796,3.65,-34.73,3.49
"P15","Agile frog","Agile frog","Amphibians","91GAGI17",0.4267,5.16,-34.74,3.52
"P15","Agile frog","Agile frog","Amphibians","91GAGI18",0.3802,4.95,-34.14,3.54
"P15","Agile frog","Agile frog","Amphibians","91GAGI19",0.4147,5.09,-35.4,3.44
"P15","Agile frog","Agile frog","Amphibians","91GAGI20",0.3762,4.74,-34.73,3.5
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL1",0.422,7.64,-30.57,3.5
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL2",0.4259,7.22,-29.65,3.38
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL3",0.4222,6.89,-29.49,3.33
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL4",0.3653,6.87,-29.13,3.34
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL5",0.3953,6.51,-30.25,3.47
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL6",0.3882,6.66,-28.78,3.32
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL7",0.4063,7.22,-28.94,3.38
"P15","Palmate newt","Palmate newt","Amphibians","91TPALF1",0.4129,6.55,-28.92,3.29
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL9",0.3963,7.13,-27.47,3.31
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL10",0.4004,7.09,-29.54,3.43
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL11",0.4126,6.56,-29.4,3.35
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL12",0.4344,6.54,-28.48,3.35
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL13",0.4065,6.39,-28.9,3.32
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL14",0.4211,6.58,-29.69,3.35
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL15",0.3945,7.09,-29.24,3.34
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL16",0.4151,6.64,-28.99,3.25
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL17",0.4002,6.61,-29.67,3.38
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL18",0.4238,6.88,-28.57,3.36
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL19",0.4394,7.68,-28.97,3.33
"P15","Palmate newt","Palmate newt","Amphibians","91TPAL20",0.4124,6.27,-29.5,3.38
"P10","Agile frog","Agile frog","Amphibians","112GAGI25",0.3234,6.81,-28.94,3.5
"P10","Agile frog","Agile frog","Amphibians","112GAGI2",0.4049,6.93,-29.13,3.49
"P10","Agile frog","Agile frog","Amphibians","112GAGI3",0.3289,5.91,-29.52,3.52
"P10","Agile frog","Agile frog","Amphibians","112GAGI4",0.3701,6.75,-29.73,3.51
"P10","Agile frog","Agile frog","Amphibians","112GAGI5",0.3253,6.71,-30.78,3.45
"P10","Agile frog","Agile frog","Amphibians","112GAGI6",0.3507,5.9,-30.78,3.55
"P10","Agile frog","Agile frog","Amphibians","112GAGI7",0.4298,6.52,-31.23,3.54
"P10","Agile frog","Agile frog","Amphibians","112GAGI8",0.3172,5.67,-29.42,3.51
"P10","Agile frog","Agile frog","Amphibians","112GAGI9",0.3155,6.2,-28.39,3.58
"P10","Agile frog","Agile frog","Amphibians","112GAGI24",0.4112,6.53,-29.77,3.56
"P10","Agile frog","Agile frog","Amphibians","112GAGI22",0.4399,6.28,-29.87,3.52
"P10","Agile frog","Agile frog","Amphibians","112GAGI12",0.3301,5.92,-26.9,3.44
"P10","Agile frog","Agile frog","Amphibians","112GAGI13",0.3273,6.56,-30.16,3.46
"P10","Agile frog","Agile frog","Amphibians","112GAGI14",0.3266,6.62,-30.12,3.48
"P10","Agile frog","Agile frog","Amphibians","112GAGI21",0.3956,6.55,-29.06,3.49
"P10","Agile frog","Agile frog","Amphibians","112GAGI16",0.3051,5.99,-29.15,3.55
"P10","Agile frog","Agile frog","Amphibians","112GAGI17",0.3808,6.48,-28.09,3.48
"P10","Agile frog","Agile frog","Amphibians","112GAGI23",0.4394,6.33,-29.25,3.5
"P10","Agile frog","Agile frog","Amphibians","112GAGI19",0.3224,5.94,-28.31,3.53
"P10","Agile frog","Agile frog","Amphibians","112GAGI20",0.3778,6.45,-28.99,3.49
"P10","Marbled newt","Marbled newt","Amphibians","112TMARA",0.4041,7.47,-25.94,3.39
"P10","Marbled newt","Marbled newt","Amphibians","112TMARB",0.3965,8.47,-25.85,3.37
"P10","Marbled newt","Marbled newt","Amphibians","112TMARC",0.4273,8.96,-25.51,3.37
"P10","Marbled newt","Marbled newt","Amphibians","112TMAR3",0.4134,8.91,-25.99,3.46
"P10","Marbled newt","Marbled newt","Amphibians","112TMAR4",0.4135,9.21,-25.91,3.44
"P10","Marbled newt","Marbled newt","Amphibians","112TMAR6",0.4155,8.09,-25.82,3.43
"P10","Palmate newt","Palmate newt","Amphibians","112TPAL1",0.4127,8.78,-28.11,3.38
"P10","Palmate newt","Palmate newt","Amphibians","112TPAL2",0.4096,9.27,-27.77,3.44
"P10","Palmate newt","Palmate newt","Amphibians","112TPAL3",0.4202,8.74,-29.57,3.38
"P10","Palmate newt","Palmate newt","Amphibians","112TPAL4",0.4141,9.25,-27.88,3.28
"P10","Palmate newt","Palmate newt","Amphibians","112TPAL5",0.4368,8.47,-27.37,3.33
"P10","Palmate newt","Palmate newt","Amphibians","112TPAL6",0.3066,8.4,-27.72,3.35
"P10","Palmate newt","Palmate newt","Amphibians","112TPAL8",0.3736,8.68,-27.2,3.37
"P10","Palmate newt","Palmate newt","Amphibians","112TPAL9",0.3503,8.68,-27.65,3.43
"P10","Palmate newt","Palmate newt","Amphibians","112TPAL10",0.3075,8.57,-27.81,3.39
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL1",0.4083,7.17,-29.08,3.43
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL2",0.4064,6.7,-29.26,3.49
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL3",0.4077,7.12,-29.53,3.4
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL4",0.4359,7.52,-28.49,3.57
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL5",0.4384,6.6,-29.82,3.43
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL6",0.4499,6.54,-28.07,3.41
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL7",0.3976,7.4,-30.45,3.67
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL8",0.4414,6.87,-30.8,3.48
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL9",0.4391,6.74,-29.23,3.47
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL10",0.4117,6.89,-30.58,3.58
"P09","Palmate newt","Palmate newt","Amphibians","66TPAL11",0.4114,7.19,-29.72,3.51
"P09","Agile frog","Agile frog","Amphibians","66GAGI1",0.2581,4.42,-34.24,3.53
"P09","Agile frog","Agile frog","Amphibians","66GAGI2",0.395,6.97,-32.19,3.83
"P09","Agile frog","Agile frog","Amphibians","66GAGI3",0.3957,4.42,-34.25,3.48
"P09","Agile frog","Agile frog","Amphibians","66GAGI4",0.3289,4.81,-34.03,3.56
"P09","Agile frog","Agile frog","Amphibians","66GAGI5",0.2569,4.65,-34.73,3.59
"P09","Agile frog","Agile frog","Amphibians","66GAGI6",0.356,4.79,-32.14,3.62
"P09","Agile frog","Agile frog","Amphibians","66GAGI7",0.3907,4.77,-35.18,3.69
"P09","Agile frog","Agile frog","Amphibians","66GAGI8",0.3961,4.26,-34.63,3.51
"P09","Agile frog","Agile frog","Amphibians","66GAGI9",0.2555,4.76,-34.28,3.53
"P09","Agile frog","Agile frog","Amphibians","66GAGI10",0.3701,4.18,-34.43,3.56
